CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed
17523395#72-2,2014,3395 SPANGLER DR #72,01-29-2014,Housing,Invalid Complaint,02-03-2014,true
20671218#43-2,2014,1218 WINBURN #43 (AKA 1750 MCCULLOUGH DR),01-29-2014,Housing,Invalid Complaint,02-14-2014,true
15850421#51,2014,421 REDDING RD #51,01-30-2014,Housing,Invalid Complaint,02-04-2014,true
13080527#F,2014,527 MICHIGAN ST #F,01-30-2014,Housing,Invalid Complaint,02-14-2014,true
16160332,2014,332 ROBERTSON ST,01-30-2014,Housing,Invalid Complaint,02-04-2014,true
03073745#5-2,2014,3745 CAMELOT DR #5,01-31-2014,Housing,Invalid Complaint,02-05-2014,true
02900907-3,2014,907 BYARS AVE,01-31-2014,Housing,Invalid Complaint,02-14-2014,true
06470320#503,2014,320 ELM TREE LN #503,02-03-2014,Housing,Invalid Complaint,02-10-2014,true
07702070#103,2014,2070 GARDEN SPRINGS DR #103,02-03-2014,Housing,Invalid Complaint,02-10-2014,true
36170315,2014,315 MCCONNELLS TRCE,02-03-2014,Housing,Invalid Complaint,02-10-2014,true
07840917#131-2,2014,917 GEORGETOWN ST #131,02-04-2014,Housing,Invalid Complaint,02-18-2014,true
00231249#B,2014,1249 ALEXANDRIA DR #B,02-05-2014,Housing,Invalid Complaint,02-17-2014,true
20671053#79,2014,1053 WINBURN DR #79,02-06-2014,Housing,Invalid Complaint,02-21-2014,true
12640568-6,2014,568 MARYLAND AVE,02-07-2014,Housing,Invalid Complaint,02-12-2014,true
00431474-2,2014,1474 ANNISTON DR,02-10-2014,Housing,Invalid Complaint,02-10-2014,true
16900312-7,2014,312 E SEVENTH ST,02-13-2014,Housing,Invalid Complaint,02-14-2014,true
09510500#4-2,2014,500 HOLLOW CREEK RD #4,02-14-2014,Housing,Invalid Complaint,02-21-2014,true
00080459-5,2014,459 ADDIE ST,02-18-2014,Housing,Invalid Complaint,02-19-2014,true
10863701-2,2014,3701 KITTIWAKE DR,02-19-2014,Housing,Invalid Complaint,02-21-2014,true
18253905,2014,3905 SUNDART DR,02-19-2014,Housing,Invalid Complaint,02-21-2014,true
03100836-2,2014,836 CAMPBELL LN,02-20-2014,Housing,Invalid Complaint,02-24-2014,true
17523395#72-3,2014,3395 SPANGLER DR #72,02-24-2014,Housing,Invalid Complaint,03-05-2014,true
18323500-2,2014,3500 SUTHERLAND DR,02-25-2014,Housing,Invalid Complaint,03-04-2014,true
21273199#B,2014,3199 YELLOWSTONE PKWY #B,02-26-2014,Housing,Invalid Complaint,03-04-2014,true
03042021#43,2014,2021 CAMBRIDGE DR #43,02-26-2014,Housing,Invalid Complaint,03-04-2014,true
18593565-4,2014,3565 TATES CREEK RD,02-28-2014,Housing,Invalid Complaint,03-04-2014,true
03041949-4,2014,1949 CAMBRIDGE DR,02-28-2014,Housing,Invalid Complaint,03-04-2014,true
03641284-3,2014,1284 CENTRE PKWY,03-03-2014,Housing,Invalid Complaint,03-04-2014,true
03641349#C3310-2,2014,1349 CENTRE PKWY BLDG C #3310,03-04-2014,Housing,Invalid Complaint,03-05-2014,true
18593543#50,2014,3543 TATES CREEK RD #50,03-04-2014,Housing,Invalid Complaint,03-10-2014,true
19661261#61-3,2014,1261 VILLAGE DR #61,03-04-2014,Housing,Invalid Complaint,03-05-2014,true
11601749#15-3,2014,1749 LIBERTY RD #15,03-05-2014,Housing,Invalid Complaint,03-05-2014,true
19171589,2014,1589 TRENT BLVD,03-11-2014,Housing,Invalid Complaint,03-18-2014,true
03130344-2,2014,344 CAMPSIE PL,03-11-2014,Housing,Invalid Complaint,03-12-2014,true
16000186-3,2014,186 RICHMOND AVE,03-12-2014,Housing,Invalid Complaint,03-13-2014,true
06760101,2014,101 FAIRLAWN AVE,03-14-2014,Housing,Invalid Complaint,03-14-2014,true
09510522#11,2014,522 HOLLOW CREEK RD #11,03-14-2014,Housing,Invalid Complaint,03-20-2014,true
07861825#1-3,2014,1825 GERALD DR #1,03-19-2014,Housing,Invalid Complaint,03-21-2014,true
00681240W2,2014,1240 ASCOT PARK,03-20-2014,Housing,Invalid Complaint,03-25-2014,true
11070147,2014,147 LAKESHORE DR,03-21-2014,Housing,Invalid Complaint,03-25-2014,true
12670303-2,2014,303 E MAXWELL ST,03-21-2014,Housing,Invalid Complaint,03-25-2014,true
03910521-3,2014,521 CHESTNUT ST,03-24-2014,Housing,Invalid Complaint,03-24-2014,true
27430000,2014,0 COTTAGE CIR,03-24-2014,Housing,Invalid Complaint,03-27-2014,true
07020209-3,2014,209 E FIFTH ST,03-26-2014,Housing,Invalid Complaint,03-26-2014,true
16960509-2,2014,509 SHAFTSBURY RD,03-26-2014,Housing,Invalid Complaint,03-28-2014,true
10590608,2014,608 KENT DR,03-27-2014,Housing,Invalid Complaint,04-02-2014,true
14680401#6-2,2014,401 PATCHEN DR #6,03-28-2014,Housing,Invalid Complaint,03-31-2014,true
16290407-3,2014,407 ROOSEVELT BLVD,03-28-2014,Housing,Invalid Complaint,03-31-2014,true
11650364#1,2014,364 LIMA DR #1,03-31-2014,Housing,Invalid Complaint,04-10-2014,true
07651228-3,2014,1228 GAINESWAY DR,04-07-2014,Housing,Invalid Complaint,04-09-2014,true
03270447-2,2014,447 CARLISLE AVE,04-07-2014,Housing,Invalid Complaint,04-08-2014,true
05100769-3,2014,769 DAKOTA ST,04-07-2014,Housing,Invalid Complaint,05-05-2014,true
20671218#54-3,2014,1218 WINBURN DR #54,04-07-2014,Housing,Invalid Complaint,04-21-2014,true
20671218#52-2,2014,1218 WINBURN DR #52,04-07-2014,Housing,Invalid Complaint,04-08-2014,true
11611209,2014,1209 LIGGETT ST,04-07-2014,Housing,Invalid Complaint,04-08-2014,true
15802073-2,2014,2073 REBEL RD,04-08-2014,Housing,Invalid Complaint,04-22-2014,true
17310308-2,2014,308 W SIXTH ST,04-08-2014,Housing,Invalid Complaint,04-14-2014,true
08862220,2014,2220 HARRODSBURG RD,04-09-2014,Housing,Invalid Complaint,04-11-2014,true
03740803,2014,803 CHARLES AVE,04-09-2014,Housing,Invalid Complaint,04-10-2014,true
06641450-5,2014,1450 ETAWAH DR,04-09-2014,Housing,Invalid Complaint,04-21-2014,true
18800550-4,2014,550 W THIRD ST,04-10-2014,Housing,Invalid Complaint,04-10-2014,true
19601510#H94-2,2014,1510 VERSAILLES RD #H94,04-10-2014,Housing,Invalid Complaint,04-11-2014,true
02600104-4,2014,104 BROWN AVE,04-14-2014,Housing,Invalid Complaint,04-17-2014,true
05151884#A,2014,1884 DALTON CT #A,04-16-2014,Housing,Invalid Complaint,04-21-2014,true
11670395-2,2014,395 S LIMESTONE,04-18-2014,Housing,Invalid Complaint,04-21-2014,true
30150364,2014,364 MASTERSON STATION DR,04-18-2014,Housing,Invalid Complaint,04-21-2014,true
04780921,2014,921 CRAMER AVE,04-21-2014,Housing,Invalid Complaint,04-22-2014,true
00080439-2,2014,439 ADDIE ST,04-22-2014,Housing,Invalid Complaint,05-05-2014,true
31853814-3,2014,3814 LADY DI LN,04-23-2014,Housing,Invalid Complaint,04-24-2014,true
21340144,2014,144 ZANDALE DR,04-23-2014,Housing,Invalid Complaint,04-24-2014,true
03910455-12,2014,455 CHESTNUT ST,04-23-2014,Housing,Invalid Complaint,04-23-2014,true
00931836#3,2014,1836 AUGUSTA DR #3,04-23-2014,Housing,Invalid Complaint,05-05-2014,true
31433462,2014,3462 SPENDTHRIFT WAY,04-24-2014,Housing,Invalid Complaint,04-30-2014,true
18380197,2014,197 SWIGERT AVE,04-24-2014,Housing,Invalid Complaint,05-05-2014,true
14460000-2,2014,0 OXFORD CIR,04-24-2014,Housing,Invalid Complaint,04-28-2014,true
24480293-3,2014,293 ALSAB CT,04-25-2014,Housing,Invalid Complaint,06-02-2014,true
07840917#104-3,2014,917 GEORGETOWN ST,04-29-2014,Housing,Invalid Complaint,05-07-2014,true
19840342-3,2014,342 WALLER AVE,04-30-2014,Housing,Invalid Complaint,05-01-2014,true
12040253-6,2014,253 E LOUDON AVE,04-30-2014,Housing,Invalid Complaint,05-05-2014,true
09200553-2,2014,553 HI CREST DR,04-30-2014,Housing,Invalid Complaint,05-05-2014,true
12050115#N119,2014,115 W LOUDON AVE MH #N119,05-01-2014,Housing,Invalid Complaint,05-02-2014,true
05220200-5,2014,200 DANTZLER CT,05-02-2014,Housing,Invalid Complaint,05-06-2014,true
12040186,2014,186 E LOUDON AVE,05-05-2014,Housing,Invalid Complaint,05-06-2014,true
12040184,2014,184 E LOUDON AVE,05-05-2014,Housing,Invalid Complaint,05-06-2014,true
12040188,2014,188 E LOUDON AVE,05-05-2014,Housing,Invalid Complaint,05-06-2014,true
10600460-4,2014,460 KENTON ST,05-05-2014,Housing,Invalid Complaint,05-06-2014,true
05022051-5,2014,2051 CUMMINS CT,05-05-2014,Housing,Invalid Complaint,05-05-2014,true
11910309-3,2014,309 LOCUST AVE,05-06-2014,Housing,Invalid Complaint,05-08-2014,true
03910455-13,2014,455 CHESTNUT ST,05-06-2014,Housing,Invalid Complaint,05-13-2014,true
18601199-3,2014,1199 TATESBROOK DR,05-07-2014,Housing,Invalid Complaint,05-08-2014,true
10453312#90-2,2014,3312 KEITHSHIRE WAY #90,05-12-2014,Housing,Invalid Complaint,05-13-2014,true
04821043-6,2014,1043 CRESCENT AVE,05-12-2014,Housing,Invalid Complaint,05-13-2014,true
20681107#10-2,2014,1107 WINCHESTER RD MH#10,05-12-2014,Housing,Invalid Complaint,05-13-2014,true
11920175#2111,2014,175 N LOCUST HILL DR #2111,05-12-2014,Housing,Invalid Complaint,05-14-2014,true
19601724#112,2014,1724 VERSAILLES RD #112,05-12-2014,Housing,Invalid Complaint,05-14-2014,true
36203317,2014,3317 DRAYTON PL,05-13-2014,Housing,Invalid Complaint,05-13-2014,true
03792383#D,2014,2383 CHAUVIN DR #D,05-19-2014,Housing,Invalid Complaint,05-21-2014,true
20671148-2,2014,1148 WINBURN DR,05-20-2014,Housing,Invalid Complaint,05-20-2014,true
01890580,2014,580 BISHOP DR,05-20-2014,Housing,Invalid Complaint,05-23-2014,true
19014750,2014,4750 TODDS RD,05-21-2014,Housing,Invalid Complaint,05-22-2014,true
05250933,2014,933 DARLEY DR,05-22-2014,Housing,Invalid Complaint,05-22-2014,true
03191808,2014,1808 CANTRILL DR,05-22-2014,Housing,Invalid Complaint,05-23-2014,true
09331406-2,2014,1406 HIGHLAWN AVE,05-22-2014,Housing,Invalid Complaint,05-27-2014,true
05130426-5,2014,426 DALLAS AVE,05-22-2014,Housing,Invalid Complaint,05-23-2014,true
03420201,2014,201 CASSIDY AVE,05-23-2014,Housing,Invalid Complaint,05-28-2014,true
12300175#2,2014,175 MALABU DR #2,05-23-2014,Housing,Invalid Complaint,05-29-2014,true
30610000W,2014,0 FAULKNER AVE,05-23-2014,Housing,Invalid Complaint,05-23-2014,true
43490424,2014,424 CUNNINGHAM LN,05-23-2014,Housing,Invalid Complaint,05-28-2014,true
30490693,2014,693 MORGAN HILLS DR,05-23-2014,Housing,Invalid Complaint,05-23-2014,true
31593584,2014,3584 FOREST COVE LN,05-27-2014,Housing,Invalid Complaint,05-28-2014,true
03910335-3,2014,335 CHESTNUT ST,05-27-2014,Housing,Invalid Complaint,05-27-2014,true
17451321-2,2014,1321 SOUTHERN AVE,05-27-2014,Housing,Invalid Complaint,05-30-2014,true
17020136,2014,136 SHAWNEE PL,05-27-2014,Housing,Invalid Complaint,05-30-2014,true
28054237,2014,4237 HEATHMOOR CT,05-27-2014,Housing,Invalid Complaint,05-29-2014,true
14121422,2014,1422 OAK HILL DR,05-27-2014,Housing,Invalid Complaint,05-28-2014,true
07120803#B,2014,803 FLORENCE AVE #B,05-27-2014,Housing,Invalid Complaint,06-10-2014,true
34492841#5,2014,2841 RYAN CIR #5,05-27-2014,Housing,Invalid Complaint,05-27-2014,true
19601724#112-2,2014,1724 VERSAILLES RD #112,05-27-2014,Housing,Invalid Complaint,05-29-2014,true
03270176,2014,176 CARLISLE AVE,05-28-2014,Housing,Invalid Complaint,05-29-2014,true
09440353,2014,353 HILLSBORO AVE,05-29-2014,Housing,Invalid Complaint,06-10-2014,true
38673855#1104,2014,3855 LOCHDALE TER #1104,05-30-2014,Housing,Invalid Complaint,06-03-2014,true
02500516#4-2,2014,516 N BROADWAY #4,05-30-2014,Housing,Invalid Complaint,05-30-2014,true
04913672-5,2014,3672 CROSBY DR,06-02-2014,Housing,Invalid Complaint,06-04-2014,true
14451304,2014,1304 OX HILL DR,06-02-2014,Housing,Invalid Complaint,06-04-2014,true
00180541,2014,541 ALBANY RD,06-02-2014,Housing,Invalid Complaint,06-04-2014,true
03073764#1,2014,3764 CAMELOT DR #1,06-02-2014,Housing,Invalid Complaint,06-03-2014,true
32234060-2,2014,4060 IRON WORKS PIKE,06-02-2014,Housing,Invalid Complaint,06-10-2014,true
10111740#A3,2014,1740 JENNIFER RD #A3,06-02-2014,Housing,Invalid Complaint,06-11-2014,true
21140680-2,2014,680 WOODWARD LN,06-02-2014,Housing,Invalid Complaint,06-03-2014,true
04731877,2014,1877 COURTLAND DR,06-03-2014,Housing,Invalid Complaint,06-10-2014,true
07733340,2014,3340 GATEWOOD CT,06-04-2014,Housing,Invalid Complaint,06-05-2014,true
14200622-5,2014,622 OHIO ST,06-04-2014,Housing,Invalid Complaint,06-05-2014,true
19930869-6,2014,869 WARD DR,06-04-2014,Housing,Invalid Complaint,06-10-2014,true
16082941-3,2014,2941 RIO DOSA DR,06-04-2014,Housing,Invalid Complaint,06-05-2014,true
01573851-2,2014,3851 BELLEAU WOOD DR,06-05-2014,Housing,Invalid Complaint,06-06-2014,true
05100707-5,2014,707 DAKOTA ST,06-05-2014,Housing,Invalid Complaint,06-06-2014,true
02900910,2014,910 BYARS AVE,06-05-2014,Housing,Invalid Complaint,06-06-2014,true
16830338-3,2014,338 E SECOND ST,06-05-2014,Housing,Invalid Complaint,06-06-2014,true
03641349#3103,2014,1349 CENTRE PKWY #3103,06-06-2014,Housing,Invalid Complaint,06-09-2014,true
19990000,2014,0 WARRINGTON DR,06-09-2014,Housing,Invalid Complaint,06-11-2014,true
25564000,2014,4000 TERMINAL DR,06-09-2014,Housing,Invalid Complaint,06-20-2014,true
13600633#602-2,2014,633 MT TABOR RD,06-10-2014,Housing,Invalid Complaint,06-10-2014,true
05681358#A-2,2014,1358 DIX DR,06-10-2014,Housing,Invalid Complaint,06-12-2014,true
17451319-2,2014,1319 SOUTHERN AVE,06-10-2014,Housing,Invalid Complaint,06-12-2014,true
17451321-3,2014,1321 SOUTHERN AVE,06-10-2014,Housing,Invalid Complaint,06-12-2014,true
19710226,2014,226 E VISTA ST,06-10-2014,Housing,Invalid Complaint,06-12-2014,true
35840000W2,2014,0 TRAILWOOD LN,06-11-2014,Housing,Invalid Complaint,06-12-2014,true
13600633#408,2014,633 MT TABOR RD#408,06-11-2014,Housing,Invalid Complaint,06-12-2014,true
00643017-3,2014,3017 ARROWHEAD DR,06-11-2014,Housing,Invalid Complaint,06-12-2014,true
05100769-4,2014,769 DAKOTA ST,06-11-2014,Housing,Invalid Complaint,06-12-2014,true
07511296358,2014,358 FREEMAN DR,06-11-2014,Housing,Invalid Complaint,06-16-2014,true
35332920#4203-2,2014,2920 POLO CLUB BLVD,06-13-2014,Housing,Invalid Complaint,06-16-2014,true
31231193,2014,1193 REDWOOD CIR,06-16-2014,Housing,Invalid Complaint,06-18-2014,true
15430471-9,2014,471 PRICE RD,06-17-2014,Housing,Invalid Complaint,07-15-2014,true
11601118,2014,1118 LIBERTY RD,06-17-2014,Housing,Invalid Complaint,06-18-2014,true
26723500#24,2014,3500 BEAVER PLACE RD#24,06-18-2014,Housing,Invalid Complaint,06-20-2014,true
07840851-4,2014,851 GEORGETOWN ST,06-18-2014,Housing,Invalid Complaint,06-20-2014,true
00483645#40-2,2014,3645 APPIAN WAY#40,06-20-2014,Housing,Invalid Complaint,06-23-2014,true
03073795#B,2014,3795 CAMELOT DR#B,06-20-2014,Housing,Invalid Complaint,06-30-2014,true
16113608-2,2014,3608 RIVER PARK DR,06-24-2014,Housing,Invalid Complaint,06-26-2014,true
31740285,2014,285 SHORESIDE DR,06-24-2014,Housing,Invalid Complaint,06-30-2014,true
20681107-4,2014,1107 WINCHESTER RD,06-25-2014,Housing,Invalid Complaint,06-27-2014,true
14200436-7,2014,436 OHIO ST,06-25-2014,Housing,Invalid Complaint,06-30-2014,true
34760648,2014,648 DANBY WOODS DR,06-25-2014,Housing,Invalid Complaint,07-01-2014,true
11670371-2,2014,371 S LIMESTONE,06-26-2014,Housing,Invalid Complaint,06-27-2014,true
16532200-2,2014,2200 RUSSELL CAVE RD,06-26-2014,Housing,Invalid Complaint,07-18-2014,true
10111624#209-2,2014,1624 JENNIFER RD#209,06-27-2014,Housing,Invalid Complaint,07-21-2014,true
26483509,2014,3509 BRANCHWOOD PL,06-30-2014,Housing,Invalid Complaint,07-01-2014,true
18751469-2,2014,1469 THAMES DR,07-01-2014,Housing,Invalid Complaint,07-02-2014,true
22500570-2,2014,570 QUIN SHEARER CT,07-01-2014,Housing,Invalid Complaint,07-14-2014,true
00921800#10,2014,1800 AUGUSTA CT#10,07-01-2014,Housing,Invalid Complaint,07-21-2014,true
19750145-3,2014,145 WABASH DR,07-02-2014,Housing,Invalid Complaint,07-02-2014,true
08403500,2014,3500 GREENLAWN DR,07-02-2014,Housing,Invalid Complaint,07-03-2014,true
03910369-6,2014,369 CHESTNUT ST,07-03-2014,Housing,Invalid Complaint,07-07-2014,true
20161031,2014,1031 WELLINGTON WAY,07-03-2014,Housing,Invalid Complaint,07-14-2014,true
17310308-3,2014,308 W SIXTH ST,07-03-2014,Housing,Invalid Complaint,07-15-2014,true
16840431-5,2014,431 W SECOND ST,07-03-2014,Housing,Invalid Complaint,07-18-2014,true
14300315#1-3,2014,315 OLDHAM AVE #1,07-08-2014,Housing,Invalid Complaint,07-09-2014,true
17470480-2,2014,480 SOUTHLAND DR,07-08-2014,Housing,Invalid Complaint,07-10-2014,true
32011820,2014,1820 KILKENNY CT,07-08-2014,Housing,Invalid Complaint,07-15-2014,true
32011821-2,2014,1821 KILKENNY CT,07-08-2014,Housing,Invalid Complaint,07-16-2014,true
41822000,2014,2000 WILLIS DR,07-08-2014,Housing,Invalid Complaint,07-22-2014,true
13973401-4,2014,3401 NICHOLASVILLE RD,07-09-2014,Housing,Invalid Complaint,07-15-2014,true
09510522#57,2014,522 HOLLOW CREEK RD #57,07-09-2014,Housing,Invalid Complaint,07-10-2014,true
30150180,2014,180 MASTERSON STATION DR,07-09-2014,Housing,Invalid Complaint,07-25-2014,true
08180000,2014,0 GRAFTON DR,07-10-2014,Housing,Invalid Complaint,07-10-2014,true
03460267-9,2014,267 CASTLEWOOD DR,07-10-2014,Housing,Invalid Complaint,07-14-2014,true
01710119-2,2014,119 BERMUDA AVE,07-11-2014,Housing,Invalid Complaint,07-14-2014,true
12591582#6,2014,1582 MARTHA CT #6,07-11-2014,Housing,Invalid Complaint,07-25-2014,true
19380224-2,2014,224 TWELFTH ST,07-14-2014,Housing,Invalid Complaint,07-14-2014,true
15810845-2,2014,845 RED MILE RD,07-14-2014,Housing,Invalid Complaint,07-15-2014,true
18751469-3,2014,1469 THAMES DR,07-15-2014,Housing,Invalid Complaint,07-16-2014,true
00720196,2014,196 ASHLEY WOODS RD,07-15-2014,Housing,Invalid Complaint,07-21-2014,true
19440711-4,2014,711 N UPPER ST,07-15-2014,Housing,Invalid Complaint,07-17-2014,true
00931824#4-4,2014,1824 AUGUSTA DR#4,07-15-2014,Housing,Invalid Complaint,07-15-2014,true
03891921,2014,1921 CHERRY CT,07-15-2014,Housing,Invalid Complaint,07-21-2014,true
21620780,2014,780 SPRING MEADOWS DR,07-15-2014,Housing,Invalid Complaint,07-22-2014,true
12000606-2,2014,606 LONGVIEW DR,07-17-2014,Housing,Invalid Complaint,07-17-2014,true
19890341-4,2014,341 N MARTIN LUTHER KING BLVD,07-18-2014,Housing,Invalid Complaint,08-04-2014,true
04150319,2014,319 CLAY AVE,07-21-2014,Housing,Invalid Complaint,07-22-2014,true
12781760#21,2014,1760 MCCULLOUGH DR,07-21-2014,Housing,Invalid Complaint,07-22-2014,true
13841098-2,2014,1098 E NEW CIRCLE RD,07-21-2014,Housing,Invalid Complaint,07-25-2014,true
12300175#62,2014,175 MALABU DR #62,07-25-2014,Housing,Invalid Complaint,07-28-2014,true
12501839,2014,1839 MARIETTA DR,07-28-2014,Housing,Invalid Complaint,08-07-2014,true
13841079,2014,1079 E NEW CIRCLE RD,07-28-2014,Housing,Invalid Complaint,07-29-2014,true
19661268#317,2014,1268 VILLAGE DR#317,07-28-2014,Housing,Invalid Complaint,08-05-2014,true
08371312,2014,1312 GREENDALE RD,07-29-2014,Housing,Invalid Complaint,08-04-2014,true
14660347,2014,347 PASADENA DR,07-29-2014,Housing,Invalid Complaint,07-30-2014,true
00180730,2014,730 ALBANY RD,07-31-2014,Housing,Invalid Complaint,07-31-2014,true
17010440,2014,440 SHAWNEE AVE,07-31-2014,Housing,Invalid Complaint,08-01-2014,true
19601500-4,2014,1500 VERSAILLES RD,07-31-2014,Housing,Invalid Complaint,08-06-2014,true
11210820-2,2014,820 LANE ALLEN RD,08-01-2014,Housing,Invalid Complaint,08-04-2014,true
10600490,2014,490 KENTON ST,08-01-2014,Housing,Invalid Complaint,08-04-2014,true
22500576#2,2014,576 QUIN SHEARER CT,08-01-2014,Housing,Invalid Complaint,08-04-2014,true
00483751#69,2014,3751 APPIAN WAY#69,08-01-2014,Housing,Invalid Complaint,08-05-2014,true
15331309,2014,1309 POST OAK RD,08-04-2014,Housing,Invalid Complaint,08-04-2014,true
30680635,2014,635 DREAMLAND DR,08-04-2014,Housing,Invalid Complaint,08-05-2014,true
18491502-1,2014,1502 TAMPA CT,08-05-2014,Housing,Invalid Complaint,08-11-2014,true
20542128#5-6,2014,2128 WILL FANT DR #5,08-07-2014,Housing,Invalid Complaint,08-07-2014,true
04931040-14,2014,1040 CROSS KEYS RD,08-12-2014,Housing,Invalid Complaint,08-14-2014,true
12442400,2014,2400 MAPLEWOOD DR,08-13-2014,Housing,Invalid Complaint,08-15-2014,true
17832041,2014,2041 ST MICHAEL DR,08-13-2014,Housing,Invalid Complaint,08-14-2014,true
02661027#1-6,2014,1027 BRYAN AVE#1,07-23-2014,Housing,Complaint Received,07-23-2014,false
24704648,2014,4648 SPRING CREEK DR,07-30-2014,Housing,Complaint Received,07-30-2014,false
08863090-7,2014,3090 HARRODSBURG RD,08-01-2014,Housing,Complaint Received,08-01-2014,false
08863094-4,2014,3094 HARRODSBURG RD,08-01-2014,Housing,Complaint Received,08-01-2014,false
17930212#B,2014,212 STATE ST #B,08-04-2014,Housing,Complaint Received,08-04-2014,false
09510522#23-3,2014,522 HOLLOW CREEK RD,08-12-2014,Housing,Complaint Received,08-12-2014,false
09510500#40,2014,500 HOLLOW CREEK RD,08-13-2014,Housing,Complaint Received,08-13-2014,false
20671053#29,2014,1053 WINBURN DR#29,08-13-2014,Housing,Complaint Received,08-13-2014,false
13380684,2014,684 MONTGOMERY AVE,08-14-2014,Housing,Complaint Received,08-14-2014,false
13380682,2014,682 MONTGOMERY AVE,08-14-2014,Housing,Complaint Received,08-14-2014,false
12430729-2,2014,729 MAPLE AVE,08-14-2014,Housing,Complaint Received,08-14-2014,false
08610114#3-3,2014,114 HAGERMAN CT#3,08-14-2014,Housing,Complaint Received,08-14-2014,false
06470664-4,2014,664 ELM TREE LN,08-14-2014,Housing,Complaint Received,08-14-2014,false
06470666-4,2014,666 ELM TREE LN,08-14-2014,Housing,Complaint Received,08-14-2014,false
35200221-3,2014,221 MOUSAS WAY,08-14-2014,Housing,Complaint Received,08-14-2014,false
05151888#3,2014,1888 DALTON CT#3,08-14-2014,Housing,Complaint Received,08-14-2014,false
06280802,2014,802 EDMOND ST,08-14-2014,Housing,Complaint Received,08-14-2014,false
10441140#5-2,2014,1140 KEES RD#5,08-14-2014,Housing,Complaint Received,08-14-2014,false
19160805-2,2014,805 TREMONT AVE,08-14-2014,Housing,Complaint Received,08-14-2014,false
19661281#D4,2014,1281 VILLAGE DR#D,08-14-2014,Housing,Complaint Received,08-14-2014,false
04931040#28-4,2014,1040 CROSS KEYS RD,08-14-2014,Housing,Complaint Received,08-14-2014,false
02041479,2014,1479 BOARDWALK,08-15-2014,Housing,Complaint Received,08-15-2014,false
10312074-2,2014,2074 LAVERNE CT,08-15-2014,Housing,Complaint Received,08-15-2014,false
00980353#1-2,2014,353 AYLESFORD PL#1,08-18-2014,Housing,Complaint Received,08-18-2014,false
11873200#93,2014,3200 LOCH NESS DR,08-18-2014,Housing,Complaint Received,08-18-2014,false
19661268-2,2014,1268 VILLAGE DR,08-18-2014,Housing,Complaint Received,08-18-2014,false
05250914-2,2014,914 DARLEY DR,08-18-2014,Housing,Complaint Received,08-18-2014,false
13080437-2,2014,437 MICHIGAN ST,08-18-2014,Housing,Complaint Received,08-18-2014,false
15620375#A,2014,375 RADCLIFFE RD#A,08-18-2014,Housing,Complaint Received,08-18-2014,false
09290560,2014,560 E HIGH ST,08-18-2014,Housing,Complaint Received,08-18-2014,false
19661274#210,2014,1274 VILLAGE DR,08-18-2014,Housing,Complaint Received,08-18-2014,false
31672365,2014,2365 SIR BARTON WAY,08-18-2014,Housing,Complaint Received,08-18-2014,false
03110464-466-2,2014,464-466 CAMPBELL ST,12-31-2013,Housing,Closed Out,03-05-2014,true
06670608-2,2014,608 EUREKA SPRINGS DR,12-31-2013,Housing,Closed Out,03-11-2014,true
08443406-2,2014,3406 GREENTREE RD,12-31-2013,Housing,Closed Out,03-24-2014,true
