CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcel_id,lat,long
03641349#C3310-2,2014,1349 CENTRE PKWY BLDG C #3310,03-04-2014,Housing,Invalid Complaint,03-05-2014,true,17289672,-84.4760054065,37.9830221638315
18593543#50,2014,3543 TATES CREEK RD #50,03-04-2014,Housing,Invalid Complaint,03-10-2014,true,12526200,-84.496431101387,37.9870494143884
19661261#61-3,2014,1261 VILLAGE DR #61,03-04-2014,Housing,Invalid Complaint,03-05-2014,true,11053800,-84.5515095310134,38.0519166167592
11601749#15-3,2014,1749 LIBERTY RD #15,03-05-2014,Housing,Invalid Complaint,03-05-2014,true,13869900,-84.4600897967339,38.0351078574084
19171589,2014,1589 TRENT BLVD,03-11-2014,Housing,Invalid Complaint,03-18-2014,true,20084500,-84.4758493535023,37.9629442269693
03130344-2,2014,344 CAMPSIE PL,03-11-2014,Housing,Invalid Complaint,03-12-2014,true,11158850,-84.4879928666638,38.0477512677178
16000186-3,2014,186 RICHMOND AVE,03-12-2014,Housing,Invalid Complaint,03-13-2014,true,13306600,-84.4777138464055,38.0352219615927
06760101,2014,101 FAIRLAWN AVE,03-14-2014,Housing,Invalid Complaint,03-14-2014,true,33169300,-84.4766633842716,38.0615487893881
09510522#11,2014,522 HOLLOW CREEK RD #11,03-14-2014,Housing,Invalid Complaint,03-20-2014,true,38251750,-84.480187094615,38.0750301972956
07861825#1-3,2014,1825 GERALD DR #1,03-19-2014,Housing,Invalid Complaint,03-21-2014,true,14426215,-84.4740924174148,38.0900737351662
00681240W2,2014,1240 ASCOT PARK,03-20-2014,Housing,Invalid Complaint,03-25-2014,true,15337550,-84.4798273925447,37.9762744769643
11070147,2014,147 LAKESHORE DR,03-21-2014,Housing,Invalid Complaint,03-25-2014,true,13114525,-84.4689849332999,38.0198221438971
12670303-2,2014,303 E MAXWELL ST,03-21-2014,Housing,Invalid Complaint,03-25-2014,true,17109500,-84.4966538607703,38.0396225555711
03910521-3,2014,521 CHESTNUT ST,03-24-2014,Housing,Invalid Complaint,03-24-2014,true,13243100,-84.4830659799136,38.048567511873
27430000,2014,0 COTTAGE CIR,03-24-2014,Housing,Invalid Complaint,03-27-2014,true,20118920,-84.5741554581705,38.0079866306918
07020209-3,2014,209 E FIFTH ST,03-26-2014,Housing,Invalid Complaint,03-26-2014,true,14271300,-84.486178354223,38.0508720672907
16960509-2,2014,509 SHAFTSBURY RD,03-26-2014,Housing,Invalid Complaint,03-28-2014,true,12210525,-84.4589826584478,38.0558875214166
10590608,2014,608 KENT DR,03-27-2014,Housing,Invalid Complaint,04-02-2014,true,20909400,-84.4559157834726,38.0867867557377
14680401#6-2,2014,401 PATCHEN DR #6,03-28-2014,Housing,Invalid Complaint,03-31-2014,true,10054370,-84.4535836425047,38.002806961675
16290407-3,2014,407 ROOSEVELT BLVD,03-28-2014,Housing,Invalid Complaint,03-31-2014,true,16821600,-84.5063317156068,38.0673807185082
11650364#1,2014,364 LIMA DR #1,03-31-2014,Housing,Invalid Complaint,04-10-2014,true,10275450,-84.5129815539251,38.0735514802195
07651228-3,2014,1228 GAINESWAY DR,04-07-2014,Housing,Invalid Complaint,04-09-2014,true,15917000,-84.4808347006164,37.9887538616632
03270447-2,2014,447 CARLISLE AVE,04-07-2014,Housing,Invalid Complaint,04-08-2014,true,16955900,-84.469697546078,38.0554407360259
05100769-3,2014,769 DAKOTA ST,04-07-2014,Housing,Invalid Complaint,05-05-2014,true,13063551,-84.4845766468919,38.0586789564053
20671218#54-3,2014,1218 WINBURN DR #54,04-07-2014,Housing,Invalid Complaint,04-21-2014,true,16786851,-84.4725004006727,38.0870257058259
20671218#52-2,2014,1218 WINBURN DR #52,04-07-2014,Housing,Invalid Complaint,04-08-2014,true,16786851,-84.4725004006727,38.0870257058259
11611209,2014,1209 LIGGETT ST,04-07-2014,Housing,Invalid Complaint,04-08-2014,true,17244000,-84.521554162345,38.0595874720625
15802073-2,2014,2073 REBEL RD,04-08-2014,Housing,Invalid Complaint,04-22-2014,true,13045275,-84.5204010529977,38.0088987513943
17310308-2,2014,308 W SIXTH ST,04-08-2014,Housing,Invalid Complaint,04-14-2014,true,10849535,-84.4884963253281,38.0554948111524
08862220,2014,2220 HARRODSBURG RD,04-09-2014,Housing,Invalid Complaint,04-11-2014,true,21739800,-84.5401722269409,38.0232663695728
03740803,2014,803 CHARLES AVE,04-09-2014,Housing,Invalid Complaint,04-10-2014,true,16604300,-84.5084027874552,38.0674483310505
06641450-5,2014,1450 ETAWAH DR,04-09-2014,Housing,Invalid Complaint,04-21-2014,true,11983300,-84.4404925374636,38.0560530199993
18800550-4,2014,550 W THIRD ST,04-10-2014,Housing,Invalid Complaint,04-10-2014,true,10469640,-84.5007137286525,38.0564577135837
19601510#H94-2,2014,1510 VERSAILLES RD #H94,04-10-2014,Housing,Invalid Complaint,04-11-2014,true,04016950,-84.5294086048684,38.0474706349484
02600104-4,2014,104 BROWN AVE,04-14-2014,Housing,Invalid Complaint,04-17-2014,true,14591700,-84.4608860517486,38.0419265807448
05151884#A,2014,1884 DALTON CT #A,04-16-2014,Housing,Invalid Complaint,04-21-2014,true,11782480,-84.4387066035557,38.0570908873885
11670395-2,2014,395 S LIMESTONE,04-18-2014,Housing,Invalid Complaint,04-21-2014,true,14283700,-84.5039649682644,38.0418559351585
30150364,2014,364 MASTERSON STATION DR,04-18-2014,Housing,Invalid Complaint,04-21-2014,true,38002570,-84.5425709552325,38.0936759591433
04780921,2014,921 CRAMER AVE,04-21-2014,Housing,Invalid Complaint,04-22-2014,true,11117700,-84.477750774763,38.0364012347539
00080439-2,2014,439 ADDIE ST,04-22-2014,Housing,Invalid Complaint,05-05-2014,true,13081700,-84.4942814986654,38.0564838352609
31853814-3,2014,3814 LADY DI LN,04-23-2014,Housing,Invalid Complaint,04-24-2014,true,38061400,-84.495607912828,37.9782626829469
21340144,2014,144 ZANDALE DR,04-23-2014,Housing,Invalid Complaint,04-24-2014,true,38052580,-84.5598265566547,38.0883561723213
03910455-12,2014,455 CHESTNUT ST,04-23-2014,Housing,Invalid Complaint,04-23-2014,true,16514800,-84.4842983850855,38.0476827759414
00931836#3,2014,1836 AUGUSTA DR #3,04-23-2014,Housing,Invalid Complaint,05-05-2014,true,12537450,-84.4406266400516,38.054549144311
31433462,2014,3462 SPENDTHRIFT WAY,04-24-2014,Housing,Invalid Complaint,04-30-2014,true,15288000,-84.4854550719226,37.9887773892713
18380197,2014,197 SWIGERT AVE,04-24-2014,Housing,Invalid Complaint,05-05-2014,true,22132500,-84.44266376667,38.0914248435755
14460000-2,2014,0 OXFORD CIR,04-24-2014,Housing,Invalid Complaint,04-28-2014,true,10026480,-84.5405483755744,38.0491005113644
24480293-3,2014,293 ALSAB CT,04-25-2014,Housing,Invalid Complaint,06-02-2014,true,10011520,-84.4517937793947,38.0147086602663
07840917#104-3,2014,917 GEORGETOWN ST,04-29-2014,Housing,Invalid Complaint,05-07-2014,true,26185825,-84.5060482432608,38.0724364592688
19840342-3,2014,342 WALLER AVE,04-30-2014,Housing,Invalid Complaint,05-01-2014,true,10019310,-84.5176733687134,38.0293014431961
12040253-6,2014,253 E LOUDON AVE,04-30-2014,Housing,Invalid Complaint,05-05-2014,true,14643600,-84.4768739018669,38.0536996998502
09200553-2,2014,553 HI CREST DR,04-30-2014,Housing,Invalid Complaint,05-05-2014,true,20450225,-84.4506585681996,38.0604978533972
12050115#N119,2014,115 W LOUDON AVE MH #N119,05-01-2014,Housing,Invalid Complaint,05-02-2014,true,13207700,-84.4814390110794,38.0593334603232
05220200-5,2014,200 DANTZLER CT,05-02-2014,Housing,Invalid Complaint,05-06-2014,true,23206400,-84.5159332071705,38.0239585008463
12040186,2014,186 E LOUDON AVE,05-05-2014,Housing,Invalid Complaint,05-06-2014,true,13316600,-84.4797607454853,38.055206794355
12040184,2014,184 E LOUDON AVE,05-05-2014,Housing,Invalid Complaint,05-06-2014,true,14234200,-84.4798502215989,38.0552783370656
12040188,2014,188 E LOUDON AVE,05-05-2014,Housing,Invalid Complaint,05-06-2014,true,13434825,-84.4797021992163,38.0551472991905
10600460-4,2014,460 KENTON ST,05-05-2014,Housing,Invalid Complaint,05-06-2014,true,14866600,-84.4909710575452,38.0540225070027
05022051-5,2014,2051 CUMMINS CT,05-05-2014,Housing,Invalid Complaint,05-05-2014,true,14340910,-84.5498419212364,38.050583629578
11910309-3,2014,309 LOCUST AVE,05-06-2014,Housing,Invalid Complaint,05-08-2014,true,46447200,-84.4719172157642,38.0591609403912
03910455-13,2014,455 CHESTNUT ST,05-06-2014,Housing,Invalid Complaint,05-13-2014,true,16514800,-84.4842983850855,38.0476827759414
18601199-3,2014,1199 TATESBROOK DR,05-07-2014,Housing,Invalid Complaint,05-08-2014,true,10967446,-84.4867669889142,37.9715030128615
10453312#90-2,2014,3312 KEITHSHIRE WAY #90,05-12-2014,Housing,Invalid Complaint,05-13-2014,true,20096725,-84.5480482195228,37.9946675274386
04821043-6,2014,1043 CRESCENT AVE,05-12-2014,Housing,Invalid Complaint,05-13-2014,true,21534700,-84.5147738454336,38.0313101078276
20681107#10-2,2014,1107 WINCHESTER RD MH#10,05-12-2014,Housing,Invalid Complaint,05-13-2014,true,15030400,-84.4647406700649,38.0429307710279
11920175#2111,2014,175 N LOCUST HILL DR #2111,05-12-2014,Housing,Invalid Complaint,05-14-2014,true,20026050,-84.4448189008397,38.0065790510186
19601724#112,2014,1724 VERSAILLES RD #112,05-12-2014,Housing,Invalid Complaint,05-14-2014,true,21358400,-84.3813773185268,38.028404409356
36203317,2014,3317 DRAYTON PL,05-13-2014,Housing,Invalid Complaint,05-13-2014,true,38047050,-84.5437453874161,37.9965235104635
03792383#D,2014,2383 CHAUVIN DR #D,05-19-2014,Housing,Invalid Complaint,05-21-2014,true,13620275,-84.4617980178489,37.9931030928718
20671148-2,2014,1148 WINBURN DR,05-20-2014,Housing,Invalid Complaint,05-20-2014,true,10023850,-84.4747462029379,38.088948678775
01890580,2014,580 BISHOP DR,05-20-2014,Housing,Invalid Complaint,05-23-2014,true,12148800,-84.4658717854528,38.0788923123364
19014750,2014,4750 TODDS RD,05-21-2014,Housing,Invalid Complaint,05-22-2014,true,22402300,-84.3756338137548,37.9895846712695
05250933,2014,933 DARLEY DR,05-22-2014,Housing,Invalid Complaint,05-22-2014,true,16743250,-84.4662429166954,38.0528800812964
03191808,2014,1808 CANTRILL DR,05-22-2014,Housing,Invalid Complaint,05-23-2014,true,14533200,-84.4449883365142,38.0446550057131
09331406-2,2014,1406 HIGHLAWN AVE,05-22-2014,Housing,Invalid Complaint,05-27-2014,true,43213800,-84.4705432408644,38.0602153218757
05130426-5,2014,426 DALLAS AVE,05-22-2014,Housing,Invalid Complaint,05-23-2014,true,44848800,-84.4692083691583,38.0397173934598
03420201,2014,201 CASSIDY AVE,05-23-2014,Housing,Invalid Complaint,05-28-2014,true,14303100,-84.4885392470095,38.0250320052365
12300175#2,2014,175 MALABU DR #2,05-23-2014,Housing,Invalid Complaint,05-29-2014,true,14027099,-84.5155311395224,38.0009647821591
30610000W,2014,0 FAULKNER AVE,05-23-2014,Housing,Invalid Complaint,05-23-2014,true,15354025,-84.455070491926,38.0939016203233
43490424,2014,424 CUNNINGHAM LN,05-23-2014,Housing,Invalid Complaint,05-28-2014,true,38227650,-84.481477001702,38.044283952584
30490693,2014,693 MORGAN HILLS DR,05-23-2014,Housing,Invalid Complaint,05-23-2014,true,19965980,-84.4428311713769,38.0232370945718
31593584,2014,3584 FOREST COVE LN,05-27-2014,Housing,Invalid Complaint,05-28-2014,true,19973590,-84.4400924708329,37.9902272956896
03910335-3,2014,335 CHESTNUT ST,05-27-2014,Housing,Invalid Complaint,05-27-2014,true,10902000,-84.4868053566202,38.0459516717077
17451321-2,2014,1321 SOUTHERN AVE,05-27-2014,Housing,Invalid Complaint,05-30-2014,true,45652450,-84.5185215426943,38.0319708857963
17020136,2014,136 SHAWNEE PL,05-27-2014,Housing,Invalid Complaint,05-30-2014,true,24552600,-84.5113050188807,38.0209355434269
28054237,2014,4237 HEATHMOOR CT,05-27-2014,Housing,Invalid Complaint,05-29-2014,true,20126680,-84.569130648834,37.9868976924973
14121422,2014,1422 OAK HILL DR,05-27-2014,Housing,Invalid Complaint,05-28-2014,true,15415900,-84.4664835720472,38.0563230358608
07120803#B,2014,803 FLORENCE AVE #B,05-27-2014,Housing,Invalid Complaint,06-10-2014,true,15989400,-84.5076818398706,38.0680791705893
34492841#5,2014,2841 RYAN CIR #5,05-27-2014,Housing,Invalid Complaint,05-27-2014,true,38000960,-84.446190488511,38.0100332163817
19601724#112-2,2014,1724 VERSAILLES RD #112,05-27-2014,Housing,Invalid Complaint,05-29-2014,true,21358400,-84.3813773185268,38.028404409356
03270176,2014,176 CARLISLE AVE,05-28-2014,Housing,Invalid Complaint,05-29-2014,true,12746400,-84.4745862765753,38.0593141552949
09440353,2014,353 HILLSBORO AVE,05-29-2014,Housing,Invalid Complaint,06-10-2014,true,45886500,-84.5229856153723,38.0744197868433
38673855#1104,2014,3855 LOCHDALE TER #1104,05-30-2014,Housing,Invalid Complaint,06-03-2014,true,38159530,-84.5409641783775,37.9723842498088
02500516#4-2,2014,516 N BROADWAY #4,05-30-2014,Housing,Invalid Complaint,05-30-2014,true,12052850,-84.4904700875094,38.0550708926068
04913672-5,2014,3672 CROSBY DR,06-02-2014,Housing,Invalid Complaint,06-04-2014,true,10603300,-84.4848247957987,37.9731500832766
14451304,2014,1304 OX HILL DR,06-02-2014,Housing,Invalid Complaint,06-04-2014,true,13190850,-84.4831523852941,37.9735338110359
00180541,2014,541 ALBANY RD,06-02-2014,Housing,Invalid Complaint,06-04-2014,true,24785850,-84.5034970558236,38.005682255266
03073764#1,2014,3764 CAMELOT DR #1,06-02-2014,Housing,Invalid Complaint,06-03-2014,true,23885313,-84.5103183761279,37.9753966183232
32234060-2,2014,4060 IRON WORKS PIKE,06-02-2014,Housing,Invalid Complaint,06-10-2014,true,23521840,-84.5200984296401,38.1403730682175
10111740#A3,2014,1740 JENNIFER RD #A3,06-02-2014,Housing,Invalid Complaint,06-11-2014,true,17179650,-84.4494528360264,38.0440169832071
21140680-2,2014,680 WOODWARD LN,06-02-2014,Housing,Invalid Complaint,06-03-2014,true,20187800,-84.4420940308083,38.0214111321731
04731877,2014,1877 COURTLAND DR,06-03-2014,Housing,Invalid Complaint,06-10-2014,true,10918400,-84.4421102909036,38.0554610544545
07733340,2014,3340 GATEWOOD CT,06-04-2014,Housing,Invalid Complaint,06-05-2014,true,10010670,-84.5054699327451,37.9838275974661
14200622-5,2014,622 OHIO ST,06-04-2014,Housing,Invalid Complaint,06-05-2014,true,38192440,-84.5044324092797,38.0519913073642
19930869-6,2014,869 WARD DR,06-04-2014,Housing,Invalid Complaint,06-10-2014,true,16776200,-84.4736791618201,38.0928086185042
16082941-3,2014,2941 RIO DOSA DR,06-04-2014,Housing,Invalid Complaint,06-05-2014,true,20064620,-84.4435952829903,38.0071867956558
01573851-2,2014,3851 BELLEAU WOOD DR,06-05-2014,Housing,Invalid Complaint,06-06-2014,true,20428718,-84.5038774578538,37.9729512083472
05100707-5,2014,707 DAKOTA ST,06-05-2014,Housing,Invalid Complaint,06-06-2014,true,10718300,-84.4861892771846,38.0575510025953
02900910,2014,910 BYARS AVE,06-05-2014,Housing,Invalid Complaint,06-06-2014,true,17253600,-84.4700128743666,38.0434207634731
16830338-3,2014,338 E SECOND ST,06-05-2014,Housing,Invalid Complaint,06-06-2014,true,15505200,-84.4895396089757,38.0445958549261
03641349#3103,2014,1349 CENTRE PKWY #3103,06-06-2014,Housing,Invalid Complaint,06-09-2014,true,17289672,-84.4760054065,37.9830221638315
19990000,2014,0 WARRINGTON DR,06-09-2014,Housing,Invalid Complaint,06-11-2014,true,12730800,-84.4536362707787,38.0544193144458
25564000,2014,4000 TERMINAL DR,06-09-2014,Housing,Invalid Complaint,06-20-2014,true,04024310,-84.6051574447055,38.0345772760339
13600633#602-2,2014,633 MT TABOR RD,06-10-2014,Housing,Invalid Complaint,06-10-2014,true,21724600,-84.4609251517586,37.9952867428159
05681358#A-2,2014,1358 DIX DR,06-10-2014,Housing,Invalid Complaint,06-12-2014,true,14424859,-84.4828518610992,37.9675198054347
17451319-2,2014,1319 SOUTHERN AVE,06-10-2014,Housing,Invalid Complaint,06-12-2014,true,45418500,-84.518433969215,38.0320903163494
17451321-3,2014,1321 SOUTHERN AVE,06-10-2014,Housing,Invalid Complaint,06-12-2014,true,45652450,-84.5185215426943,38.0319708857963
19710226,2014,226 E VISTA ST,06-10-2014,Housing,Invalid Complaint,06-12-2014,true,24339100,-84.5257814173623,38.0240749251641
35840000W2,2014,0 TRAILWOOD LN,06-11-2014,Housing,Invalid Complaint,06-12-2014,true,38031520,-84.5541789680266,38.0818288964025
13600633#408,2014,633 MT TABOR RD#408,06-11-2014,Housing,Invalid Complaint,06-12-2014,true,21724600,-84.4609251517586,37.9952867428159
00643017-3,2014,3017 ARROWHEAD DR,06-11-2014,Housing,Invalid Complaint,06-12-2014,true,24235802,-84.5551384349106,38.0095479058342
05100769-4,2014,769 DAKOTA ST,06-11-2014,Housing,Invalid Complaint,06-12-2014,true,13063551,-84.4845766468919,38.0586789564053
07511296358,2014,358 FREEMAN DR,06-11-2014,Housing,Invalid Complaint,06-16-2014,true,11327600,-84.5273572127502,38.0155287058899
35332920#4203-2,2014,2920 POLO CLUB BLVD,06-13-2014,Housing,Invalid Complaint,06-16-2014,true,38071230,-84.4073946223011,38.0235317655277
31231193,2014,1193 REDWOOD CIR,06-16-2014,Housing,Invalid Complaint,06-18-2014,true,14142675,-84.5079391554076,38.0814681875435
15430471-9,2014,471 PRICE RD,06-17-2014,Housing,Invalid Complaint,07-15-2014,true,19986870,-84.5061866900058,38.0702510074526
11601118,2014,1118 LIBERTY RD,06-17-2014,Housing,Invalid Complaint,06-18-2014,true,15084300,-84.4852726860761,38.0288765605288
26723500#24,2014,3500 BEAVER PLACE RD#24,06-18-2014,Housing,Invalid Complaint,06-20-2014,true,20083090,-84.5369746165686,37.9801753487738
07840851-4,2014,851 GEORGETOWN ST,06-18-2014,Housing,Invalid Complaint,06-20-2014,true,10446300,-84.5046028990128,38.0696605943042
00483645#40-2,2014,3645 APPIAN WAY#40,06-20-2014,Housing,Invalid Complaint,06-23-2014,true,04024320,-84.4893418147992,37.9771071438311
03073795#B,2014,3795 CAMELOT DR#B,06-20-2014,Housing,Invalid Complaint,06-30-2014,true,19334100,-84.5090093430813,37.9738573207553
16113608-2,2014,3608 RIVER PARK DR,06-24-2014,Housing,Invalid Complaint,06-26-2014,true,15129700,-84.47795544079,37.9740465364476
31740285,2014,285 SHORESIDE DR,06-24-2014,Housing,Invalid Complaint,06-30-2014,true,19979780,-84.440956615527,37.9894248337888
20681107-4,2014,1107 WINCHESTER RD,06-25-2014,Housing,Invalid Complaint,06-27-2014,true,15030400,-84.4647406700649,38.0429307710279
14200436-7,2014,436 OHIO ST,06-25-2014,Housing,Invalid Complaint,06-30-2014,true,13258200,-84.4850588769544,38.0476562720587
34760648,2014,648 DANBY WOODS DR,06-25-2014,Housing,Invalid Complaint,07-01-2014,true,38007500,-84.4411339517733,38.0196386677967
11670371-2,2014,371 S LIMESTONE,06-26-2014,Housing,Invalid Complaint,06-27-2014,true,16911080,-84.5034569995789,38.0422205797352
16532200-2,2014,2200 RUSSELL CAVE RD,06-26-2014,Housing,Invalid Complaint,07-18-2014,true,25678300,-84.4617892726607,38.0909125938109
10111624#209-2,2014,1624 JENNIFER RD#209,06-27-2014,Housing,Invalid Complaint,07-21-2014,true,16718500,-84.4500135318245,38.0460567116104
26483509,2014,3509 BRANCHWOOD PL,06-30-2014,Housing,Invalid Complaint,07-01-2014,true,20095570,-84.5403091428819,37.9810771070041
18751469-2,2014,1469 THAMES DR,07-01-2014,Housing,Invalid Complaint,07-02-2014,true,13635208,-84.4753433438412,37.9723829124918
22500570-2,2014,570 QUIN SHEARER CT,07-01-2014,Housing,Invalid Complaint,07-14-2014,true,14599652,-84.5015404988237,38.0524106079496
00921800#10,2014,1800 AUGUSTA CT#10,07-01-2014,Housing,Invalid Complaint,07-21-2014,true,10128625,-84.4443883878764,38.053270741235
19750145-3,2014,145 WABASH DR,07-02-2014,Housing,Invalid Complaint,07-02-2014,true,11530300,-84.5198516302968,38.0169421139237
08403500,2014,3500 GREENLAWN DR,07-02-2014,Housing,Invalid Complaint,07-03-2014,true,24110500,-84.5122225886403,37.9849837621276
03910369-6,2014,369 CHESTNUT ST,07-03-2014,Housing,Invalid Complaint,07-07-2014,true,13278300,-84.4858359778059,38.0465099243888
20161031,2014,1031 WELLINGTON WAY,07-03-2014,Housing,Invalid Complaint,07-14-2014,true,38173420,-84.5701104701707,38.0059017803934
